Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 21:28 EST
"Nutrient data for: 35046, Fish, lingcod, meat, raw (Alaska Native)"
Nutrient,Unit,1Value per 100 g,
Proximates
"Water",g,80.00,
"Energy",kcal,79,
"Protein",g,17.90,
"Total lipid (fat)",g,0.80,
"Carbohydrate, by difference",g,0.00,
Minerals
"Potassium, K",mg,433,
"Sodium, Na",mg,59,
Vitamins
"Thiamin",mg,0.110,
"Riboflavin",mg,0.360,
"Vitamin A, IU",IU,230,
Lipids
Amino Acids
Other
