Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 21:27 EST
"Nutrient data for: 35193, Agave, cooked (Southwest)"
Nutrient,Unit,1Value per 100 g,
Proximates
"Water",g,65.40,
"Energy",kcal,135,
"Protein",g,0.99,
"Total lipid (fat)",g,0.29,
"Carbohydrate, by difference",g,32.00,
"Fiber, total dietary",g,10.6,
"Sugars, total",g,20.87,
Minerals
"Calcium, Ca",mg,460,
"Iron, Fe",mg,3.55,
"Magnesium, Mg",mg,39,
"Phosphorus, P",mg,9,
"Potassium, K",mg,59,
"Sodium, Na",mg,13,
"Zinc, Zn",mg,0.25,
Vitamins
"Vitamin C, total ascorbic acid",mg,0.3,
"Thiamin",mg,0.012,
"Riboflavin",mg,0.099,
"Niacin",mg,0.162,
"Vitamin B-6",mg,0.087,
"Folate, DFE",µg,3,
"Vitamin B-12",µg,0.00,
"Vitamin A, RAE",µg,6,
"Vitamin A, IU",IU,113,
"Vitamin E (alpha-tocopherol)",mg,0.36,
"Vitamin D (D2 + D3)",µg,0.0,
"Vitamin D",IU,0,
"Vitamin K (phylloquinone)",µg,4.9,
Lipids
"Cholesterol",mg,0,
Amino Acids
Other
"Caffeine",mg,0,
