Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 21:27 EST
"Nutrient data for: 35007, Bear, black, meat (Alaska Native)"
Nutrient,Unit,1Value per 100 g,
Proximates
"Water",g,71.20,
"Energy",kcal,155,
"Protein",g,20.10,
"Total lipid (fat)",g,8.30,
"Carbohydrate, by difference",g,0.00,
Minerals
"Iron, Fe",mg,7.20,
"Phosphorus, P",mg,162,
Vitamins
"Thiamin",mg,0.160,
"Riboflavin",mg,0.680,
"Niacin",mg,3.200,
"Vitamin A, IU",IU,260,
Lipids
Amino Acids
Other
