Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 21:29 EST
"Nutrient data for: 35207, Pinon Nuts, roasted (Navajo)"
Nutrient,Unit,1Value per 100 g,
Proximates
"Water",g,5.00,
"Energy",kcal,541,
"Protein",g,7.41,
"Total lipid (fat)",g,34.08,
"Carbohydrate, by difference",g,51.06,
"Fiber, total dietary",g,43.4,
Minerals
"Calcium, Ca",mg,18,
"Iron, Fe",mg,3.53,
"Magnesium, Mg",mg,152,
"Phosphorus, P",mg,345,
"Potassium, K",mg,458,
"Sodium, Na",mg,310,
"Zinc, Zn",mg,2.89,
Vitamins
"Vitamin C, total ascorbic acid",mg,0.0,
"Thiamin",mg,0.212,
"Riboflavin",mg,0.222,
"Niacin",mg,1.630,
"Vitamin B-6",mg,0.116,
"Vitamin E (alpha-tocopherol)",mg,11.30,
Lipids
"Fatty acids, total saturated",g,3.210,
"Fatty acids, total monounsaturated",g,15.570,
"Fatty acids, total polyunsaturated",g,14.420,
Amino Acids
Other
