Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 21:27 EST
"Nutrient data for: 35001, Agutuk, fish/berry with seal oil (Alaskan ice cream) (Alaska Native)"
Nutrient,Unit,1Value per 100 g,
Proximates
"Water",g,47.30,
"Energy",kcal,353,
"Protein",g,3.40,
"Total lipid (fat)",g,31.80,
"Carbohydrate, by difference",g,13.40,
"Fiber, total dietary",g,0.5,
Minerals
"Calcium, Ca",mg,8,
"Iron, Fe",mg,0.30,
"Magnesium, Mg",mg,7,
"Phosphorus, P",mg,46,
"Potassium, K",mg,70,
"Sodium, Na",mg,21,
"Zinc, Zn",mg,0.18,
Vitamins
"Vitamin C, total ascorbic acid",mg,2.9,
"Thiamin",mg,0.040,
"Riboflavin",mg,0.050,
"Niacin",mg,0.550,
"Vitamin B-6",mg,0.010,
"Vitamin A, IU",IU,696,
"Vitamin E (alpha-tocopherol)",mg,2.36,
Lipids
"Fatty acids, total saturated",g,7.700,
"Fatty acids, total monounsaturated",g,14.400,
"Fatty acids, total polyunsaturated",g,8.400,
"Cholesterol",mg,10,
Amino Acids
Other
