Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 21:28 EST
"Nutrient data for: 35166, Fish, salmon, red, (sockeye), canned, smoked (Alaska Native)"
Nutrient,Unit,1Value per 100 g,
Proximates
"Water",g,56.49,
"Energy",kcal,206,
"Protein",g,35.19,
"Total lipid (fat)",g,7.26,
"Carbohydrate, by difference",g,0.00,
"Fiber, total dietary",g,0.0,
"Sugars, total",g,0.00,
Minerals
"Calcium, Ca",mg,69,
"Iron, Fe",mg,1.50,
"Magnesium, Mg",mg,39,
"Phosphorus, P",mg,350,
"Potassium, K",mg,470,
"Sodium, Na",mg,600,
"Zinc, Zn",mg,1.10,
Vitamins
"Vitamin C, total ascorbic acid",mg,0.0,
"Thiamin",mg,0.021,
"Riboflavin",mg,0.358,
"Niacin",mg,13.100,
"Vitamin B-6",mg,0.182,
"Folate, DFE",µg,4,
"Vitamin B-12",µg,7.43,
"Vitamin A, RAE",µg,19,
"Vitamin A, IU",IU,63,
"Vitamin E (alpha-tocopherol)",mg,0.45,
"Vitamin K (phylloquinone)",µg,0.0,
Lipids
"Fatty acids, total saturated",g,1.480,
"Fatty acids, total monounsaturated",g,2.290,
"Fatty acids, total polyunsaturated",g,2.210,
"Cholesterol",mg,93,
Amino Acids
Other
"Caffeine",mg,0,
