Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 21:28 EST
"Nutrient data for: 35029, Cranberries, wild, bush, raw (Alaska Native)"
Nutrient,Unit,1Value per 100 g,
Proximates
"Water",g,86.00,
"Energy",kcal,55,
"Protein",g,1.10,
"Total lipid (fat)",g,0.20,
"Carbohydrate, by difference",g,12.30,
"Fiber, total dietary",g,6.7,
Minerals
"Calcium, Ca",mg,20,
"Iron, Fe",mg,1.00,
"Phosphorus, P",mg,15,
"Potassium, K",mg,140,
"Sodium, Na",mg,26,
Vitamins
"Vitamin C, total ascorbic acid",mg,15.0,
"Thiamin",mg,0.000,
"Riboflavin",mg,0.010,
"Niacin",mg,0.900,
"Vitamin A, IU",IU,1060,
Lipids
Amino Acids
Other
