Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 21:29 EST
"Nutrient data for: 35084, Oil, walrus (Alaska Native)"
Nutrient,Unit,1Value per 100 g,
Proximates
"Water",g,0.00,
"Energy",kcal,900,
"Protein",g,0.00,
"Total lipid (fat)",g,100.00,
"Carbohydrate, by difference",g,0.00,
Minerals
"Calcium, Ca",mg,0,
Vitamins
"Thiamin",mg,0.000,
"Riboflavin",mg,0.000,
"Niacin",mg,0.000,
"Vitamin A, IU",IU,2600,
Lipids
"Cholesterol",mg,120,
Amino Acids
Other
