Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 21:28 EST
"Nutrient data for: 35054, Octopus (Alaska Native)"
Nutrient,Unit,1Value per 100 g,
Proximates
"Water",g,84.00,
"Energy",kcal,56,
"Protein",g,12.30,
"Total lipid (fat)",g,0.80,
"Carbohydrate, by difference",g,0.00,
Minerals
"Calcium, Ca",mg,35,
"Iron, Fe",mg,4.90,
"Phosphorus, P",mg,158,
"Zinc, Zn",mg,1.43,
Vitamins
"Vitamin C, total ascorbic acid",mg,0.0,
"Thiamin",mg,0.030,
"Riboflavin",mg,0.040,
"Niacin",mg,2.000,
"Vitamin A, IU",IU,0,
Lipids
"Fatty acids, total saturated",g,0.200,
"Fatty acids, total polyunsaturated",g,0.200,
"Cholesterol",mg,41,
Amino Acids
Other
