Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 21:28 EST
"Nutrient data for: 35064, Fish, salmon, tipnuk, fermented (Alaska Native)"
Nutrient,Unit,1Value per 100 g,
Proximates
"Water",g,68.80,
"Energy",kcal,159,
"Protein",g,15.90,
"Total lipid (fat)",g,10.60,
"Carbohydrate, by difference",g,0.00,
Minerals
"Phosphorus, P",mg,46,
Vitamins
"Thiamin",mg,0.130,
"Riboflavin",mg,0.150,
"Niacin",mg,1.900,
"Vitamin A, IU",IU,780,
Lipids
Amino Acids
Other
