Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 21:28 EST
"Nutrient data for: 35133, Chilchen (Red Berry Beverage) (Navajo)"
Nutrient,Unit,1Value per 100 g,
Proximates
"Water",g,89.69,
"Energy",kcal,44,
"Protein",g,0.81,
"Total lipid (fat)",g,0.63,
"Carbohydrate, by difference",g,8.68,
"Sugars, total",g,2.60,
Minerals
"Calcium, Ca",mg,7,
"Iron, Fe",mg,0.95,
"Magnesium, Mg",mg,9,
"Phosphorus, P",mg,23,
"Potassium, K",mg,28,
"Sodium, Na",mg,15,
"Zinc, Zn",mg,0.19,
Vitamins
"Thiamin",mg,0.020,
"Riboflavin",mg,0.015,
"Niacin",mg,0.248,
"Vitamin B-6",mg,0.033,
"Vitamin E (alpha-tocopherol)",mg,0.00,
"Vitamin K (phylloquinone)",µg,0.0,
Lipids
"Fatty acids, total saturated",g,0.075,
"Fatty acids, total monounsaturated",g,0.135,
"Fatty acids, total polyunsaturated",g,0.151,
Amino Acids
Other
Footnotes
(a)"Weight of serving based on limited sampling and may vary widely."
