Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 21:28 EST
"Nutrient data for: 35177, Elk, free range, roast, eye of round, raw (Shoshone Bannock)"
Nutrient,Unit,1Value per 100 g,
Proximates
"Water",g,76.54,
"Energy",kcal,98,
"Protein",g,19.74,
"Total lipid (fat)",g,2.10,
"Carbohydrate, by difference",g,0.00,
"Fiber, total dietary",g,0.0,
"Sugars, total",g,0.00,
Minerals
"Calcium, Ca",mg,4,
"Iron, Fe",mg,2.27,
"Magnesium, Mg",mg,24,
"Phosphorus, P",mg,215,
"Potassium, K",mg,367,
"Sodium, Na",mg,43,
"Zinc, Zn",mg,4.16,
Vitamins
"Vitamin C, total ascorbic acid",mg,0.0,
"Thiamin",mg,0.159,
"Riboflavin",mg,0.270,
"Niacin",mg,6.630,
"Vitamin B-6",mg,0.893,
"Vitamin B-12",µg,1.77,
"Vitamin A, RAE",µg,0,
"Vitamin A, IU",IU,0,
Lipids
"Fatty acids, total saturated",g,0.828,
"Fatty acids, total monounsaturated",g,0.897,
"Fatty acids, total polyunsaturated",g,0.122,
"Fatty acids, total trans",g,0.032,
Amino Acids
Other
"Caffeine",mg,0,
