Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 21:28 EST
"Nutrient data for: 35065, Fish, salmon, king, chinook, kippered, canned (Alaska Native)"
Nutrient,Unit,1Value per 100 g,
Proximates
"Water",g,51.20,
"Energy",kcal,266,
"Protein",g,30.70,
"Total lipid (fat)",g,15.90,
"Carbohydrate, by difference",g,0.00,
Minerals
"Calcium, Ca",mg,38,
"Iron, Fe",mg,1.70,
Vitamins
"Thiamin",mg,0.050,
"Riboflavin",mg,0.140,
"Niacin",mg,10.900,
"Vitamin A, IU",IU,50,
Lipids
Amino Acids
Other
