Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 21:28 EST
"Nutrient data for: 35067, Fish, salmon, king, chinook, smoked, brined (Alaska Native)"
Nutrient,Unit,1Value per 100 g,
Proximates
"Water",g,23.60,
"Energy",kcal,430,
"Protein",g,39.90,
"Total lipid (fat)",g,30.00,
"Carbohydrate, by difference",g,0.00,
"Fiber, total dietary",g,0.0,
Minerals
"Calcium, Ca",mg,23,
"Iron, Fe",mg,4.50,
"Potassium, K",mg,700,
"Sodium, Na",mg,693,
Vitamins
"Thiamin",mg,0.060,
"Riboflavin",mg,0.280,
"Niacin",mg,11.800,
"Vitamin A, IU",IU,527,
Lipids
"Fatty acids, total saturated",g,6.970,
"Fatty acids, total monounsaturated",g,16.900,
"Fatty acids, total polyunsaturated",g,0.350,
"Cholesterol",mg,107,
Amino Acids
Other
