Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 21:27 EST
"Nutrient data for: 35003, Agutuk, meat-caribou (Alaskan ice cream) (Alaska Native)"
Nutrient,Unit,1Value per 100 g,
Proximates
"Water",g,55.20,
"Energy",kcal,258,
"Protein",g,21.70,
"Total lipid (fat)",g,18.60,
"Carbohydrate, by difference",g,0.90,
Minerals
"Calcium, Ca",mg,16,
"Iron, Fe",mg,4.55,
"Magnesium, Mg",mg,20,
"Phosphorus, P",mg,170,
"Potassium, K",mg,228,
"Sodium, Na",mg,95,
"Zinc, Zn",mg,3.83,
Vitamins
"Vitamin C, total ascorbic acid",mg,2.2,
"Thiamin",mg,0.180,
"Riboflavin",mg,0.660,
"Niacin",mg,4.260,
"Vitamin B-6",mg,0.230,
"Vitamin B-12",µg,4.83,
"Vitamin A, IU",IU,559,
Lipids
"Fatty acids, total saturated",g,5.100,
"Fatty acids, total monounsaturated",g,8.700,
"Fatty acids, total polyunsaturated",g,3.600,
"Cholesterol",mg,89,
Amino Acids
Other
