Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 21:28 EST
"Nutrient data for: 35030, Cranberry, low bush or lingenberry, raw (Alaska Native)"
Nutrient,Unit,1Value per 100 g,
Proximates
"Water",g,86.70,
"Energy",kcal,55,
"Protein",g,0.40,
"Total lipid (fat)",g,0.50,
"Carbohydrate, by difference",g,12.20,
Minerals
"Calcium, Ca",mg,26,
"Iron, Fe",mg,0.40,
"Phosphorus, P",mg,21,
Vitamins
"Vitamin C, total ascorbic acid",mg,21.0,
"Thiamin",mg,0.020,
"Riboflavin",mg,0.080,
"Niacin",mg,0.400,
"Vitamin A, IU",IU,90,
Lipids
Amino Acids
Other
