Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 21:29 EST
"Nutrient data for: 35175, Seal, bearded (Oogruk), meat, partially dried (Alaska Native)"
Nutrient,Unit,1Value per 100 g,
Proximates
"Water",g,34.92,
"Energy",kcal,270,
"Protein",g,62.38,
"Total lipid (fat)",g,2.31,
"Carbohydrate, by difference",g,0.00,
"Sugars, total",g,0.00,
Minerals
"Calcium, Ca",mg,9,
"Iron, Fe",mg,33.00,
"Magnesium, Mg",mg,62,
"Phosphorus, P",mg,510,
"Potassium, K",mg,960,
"Sodium, Na",mg,130,
"Zinc, Zn",mg,5.00,
Vitamins
"Vitamin C, total ascorbic acid",mg,0.0,
"Folate, DFE",µg,0,
"Vitamin A, RAE",µg,0,
"Vitamin A, IU",IU,0,
"Vitamin E (alpha-tocopherol)",mg,0.07,
"Vitamin K (phylloquinone)",µg,0.0,
Lipids
Amino Acids
Other
"Caffeine",mg,0,
