Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 21:28 EST
"Nutrient data for: 35080, Deer (venison), sitka, raw (Alaska Native)"
Nutrient,Unit,1Value per 100 g,
Proximates
"Water",g,75.00,
"Energy",kcal,116,
"Protein",g,21.50,
"Total lipid (fat)",g,2.66,
"Carbohydrate, by difference",g,0.00,
Minerals
"Calcium, Ca",mg,7,
"Iron, Fe",mg,2.90,
Vitamins
"Vitamin C, total ascorbic acid",mg,0.0,
"Thiamin",mg,0.200,
"Riboflavin",mg,0.360,
"Niacin",mg,6.600,
"Vitamin A, RAE",µg,0,
"Vitamin A, IU",IU,0,
Lipids
"Fatty acids, total saturated",g,0.630,
"Fatty acids, total monounsaturated",g,0.340,
"Fatty acids, total polyunsaturated",g,0.350,
"Cholesterol",mg,18,
Amino Acids
Other
