Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 21:28 EST
"Nutrient data for: 35135, Corn, white, steamed (Navajo)"
Nutrient,Unit,1Value per 100 g,
Proximates
"Water",g,8.09,
"Energy",kcal,386,
"Protein",g,9.72,
"Total lipid (fat)",g,5.18,
"Carbohydrate, by difference",g,75.20,
"Fiber, total dietary",g,16.6,
"Sugars, total",g,6.47,
Minerals
"Calcium, Ca",mg,14,
"Iron, Fe",mg,2.29,
"Magnesium, Mg",mg,123,
"Phosphorus, P",mg,312,
"Potassium, K",mg,532,
"Sodium, Na",mg,4,
"Zinc, Zn",mg,3.15,
Vitamins
"Vitamin C, total ascorbic acid",mg,0.0,
"Thiamin",mg,0.080,
"Riboflavin",mg,0.067,
"Niacin",mg,3.310,
"Vitamin B-6",mg,0.289,
"Vitamin E (alpha-tocopherol)",mg,0.00,
"Vitamin K (phylloquinone)",µg,0.8,
Lipids
"Fatty acids, total saturated",g,0.830,
"Fatty acids, total monounsaturated",g,1.483,
"Fatty acids, total polyunsaturated",g,1.862,
Amino Acids
Other
