Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 21:29 EST
"Nutrient data for: 35148, Stew, steamed corn (Navajo)"
Nutrient,Unit,1Value per 100 g,
Proximates
"Water",g,76.03,
"Energy",kcal,112,
"Protein",g,8.82,
"Total lipid (fat)",g,3.75,
"Carbohydrate, by difference",g,10.80,
"Fiber, total dietary",g,2.3,
"Sugars, total",g,0.51,
Minerals
"Calcium, Ca",mg,22,
"Iron, Fe",mg,1.10,
"Magnesium, Mg",mg,24,
"Phosphorus, P",mg,107,
"Potassium, K",mg,177,
"Sodium, Na",mg,104,
"Zinc, Zn",mg,1.55,
Vitamins
"Vitamin C, total ascorbic acid",mg,0.0,
"Thiamin",mg,0.030,
"Riboflavin",mg,0.110,
"Niacin",mg,3.020,
"Vitamin B-6",mg,0.120,
"Vitamin E (alpha-tocopherol)",mg,0.00,
"Vitamin K (phylloquinone)",µg,0.7,
Lipids
"Fatty acids, total saturated",g,1.603,
"Fatty acids, total monounsaturated",g,1.497,
"Fatty acids, total polyunsaturated",g,0.392,
Amino Acids
Other
