Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 21:28 EST
"Nutrient data for: 35171, Fish, salmon, chum, dried (Alaska Native)"
Nutrient,Unit,1Value per 100 g,
Proximates
"Water",g,22.79,
"Energy",kcal,378,
"Protein",g,62.09,
"Total lipid (fat)",g,14.38,
"Carbohydrate, by difference",g,0.00,
"Fiber, total dietary",g,0.0,
"Sugars, total",g,0.00,
Minerals
"Calcium, Ca",mg,155,
"Iron, Fe",mg,2.20,
"Magnesium, Mg",mg,68,
"Phosphorus, P",mg,650,
"Potassium, K",mg,910,
"Sodium, Na",mg,190,
"Zinc, Zn",mg,1.40,
Vitamins
"Vitamin C, total ascorbic acid",mg,0.0,
"Thiamin",mg,0.356,
"Riboflavin",mg,0.463,
"Niacin",mg,14.650,
"Vitamin B-6",mg,0.681,
"Folate, DFE",µg,12,
"Vitamin B-12",µg,28.60,
"Vitamin A, RAE",µg,16,
"Vitamin A, IU",IU,53,
"Vitamin E (alpha-tocopherol)",mg,0.82,
"Vitamin K (phylloquinone)",µg,0.0,
Lipids
"Fatty acids, total saturated",g,2.395,
"Fatty acids, total monounsaturated",g,5.139,
"Fatty acids, total polyunsaturated",g,2.323,
"Cholesterol",mg,214,
Amino Acids
Other
"Caffeine",mg,0,
