Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 21:28 EST
"Nutrient data for: 35025, Caribou, tongue, raw (Alaska Native)"
Nutrient,Unit,1Value per 100 g,
Proximates
"Water",g,62.50,
"Energy",kcal,260,
"Protein",g,13.70,
"Total lipid (fat)",g,22.80,
"Carbohydrate, by difference",g,0.00,
Minerals
"Calcium, Ca",mg,6,
"Iron, Fe",mg,2.80,
"Phosphorus, P",mg,150,
Vitamins
"Thiamin",mg,0.120,
"Vitamin A, IU",IU,190,
Lipids
Amino Acids
Other
