Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 21:28 EST
"Nutrient data for: 35028, Cockles, raw (Alaska Native)"
Nutrient,Unit,1Value per 100 g,
Proximates
"Water",g,78.80,
"Energy",kcal,79,
"Protein",g,13.50,
"Total lipid (fat)",g,0.70,
"Carbohydrate, by difference",g,4.70,
Minerals
"Calcium, Ca",mg,30,
"Iron, Fe",mg,16.20,
Vitamins
"Thiamin",mg,0.010,
"Riboflavin",mg,0.200,
"Niacin",mg,3.200,
Lipids
Amino Acids
Other
