Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 21:29 EST
"Nutrient data for: 35079, Walrus, meat, dried (Alaska Native)"
Nutrient,Unit,1Value per 100 g,
Proximates
"Water",g,38.80,
"Energy",kcal,251,
"Protein",g,57.00,
"Total lipid (fat)",g,2.60,
"Carbohydrate, by difference",g,0.00,
Minerals
"Iron, Fe",mg,43.00,
"Phosphorus, P",mg,415,
Vitamins
"Thiamin",mg,0.210,
"Riboflavin",mg,0.790,
"Niacin",mg,10.100,
"Vitamin A, IU",IU,410,
Lipids
Amino Acids
Other
