Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 21:27 EST
"Nutrient data for: 35004, Ascidians (tunughnak) (Alaska Native)"
Nutrient,Unit,1Value per 100 g,
Proximates
"Water",g,90.40,
"Energy",kcal,20,
"Protein",g,3.80,
"Total lipid (fat)",g,0.50,
"Carbohydrate, by difference",g,0.00,
Minerals
"Calcium, Ca",mg,47,
"Iron, Fe",mg,3.30,
"Potassium, K",mg,102,
"Sodium, Na",mg,656,
Vitamins
"Vitamin C, total ascorbic acid",mg,0.0,
"Thiamin",mg,0.000,
"Riboflavin",mg,0.200,
"Niacin",mg,0.000,
"Vitamin A, IU",IU,0,
Lipids
"Fatty acids, total saturated",g,0.100,
"Fatty acids, total monounsaturated",g,0.120,
"Fatty acids, total polyunsaturated",g,0.200,
"Cholesterol",mg,7,
Amino Acids
Other
