Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 21:28 EST
"Nutrient data for: 35088, Fish, whitefish, broad, liver (Alaska Native)"
Nutrient,Unit,1Value per 100 g,
Proximates
"Water",g,76.10,
"Energy",kcal,104,
"Protein",g,11.00,
"Total lipid (fat)",g,4.40,
"Carbohydrate, by difference",g,5.10,
Minerals
"Calcium, Ca",mg,53,
"Iron, Fe",mg,8.60,
"Phosphorus, P",mg,297,
Vitamins
"Thiamin",mg,0.180,
"Riboflavin",mg,0.540,
"Niacin",mg,2.700,
"Vitamin A, IU",IU,1510,
Lipids
Amino Acids
Other
