Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 21:29 EST
"Nutrient data for: 35059, Owl, horned, flesh, raw (Alaska Native)"
Nutrient,Unit,1Value per 100 g,
Proximates
"Water",g,71.30,
"Energy",kcal,136,
"Protein",g,22.70,
"Total lipid (fat)",g,5.00,
"Carbohydrate, by difference",g,0.00,
Minerals
"Calcium, Ca",mg,16,
"Iron, Fe",mg,4.80,
"Phosphorus, P",mg,218,
Vitamins
"Vitamin A, IU",IU,350,
Lipids
Amino Acids
Other
