Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 14:15 EST
"Nutrient data for: 07977, Ham, smoked, extra lean, low sodium"
Nutrient,Unit,1Value per 100 g,
Proximates
"Water",g,64.59,
"Energy",kcal,141,
"Protein",g,18.52,
"Total lipid (fat)",g,2.71,
"Carbohydrate, by difference",g,10.70,
"Fiber, total dietary",g,0.0,
"Sugars, total",g,10.68,
Minerals
"Calcium, Ca",mg,5,
"Iron, Fe",mg,0.76,
"Magnesium, Mg",mg,20,
"Phosphorus, P",mg,286,
"Potassium, K",mg,330,
"Sodium, Na",mg,1062,
"Zinc, Zn",mg,1.78,
Vitamins
"Vitamin C, total ascorbic acid",mg,0.0,
"Thiamin",mg,0.558,
"Riboflavin",mg,0.194,
"Niacin",mg,6.147,
"Vitamin B-6",mg,0.415,
"Folate, DFE",µg,2,
"Vitamin B-12",µg,0.37,
"Vitamin A, RAE",µg,12,
"Vitamin A, IU",IU,39,
"Vitamin E (alpha-tocopherol)",mg,0.24,
"Vitamin D (D2 + D3)",µg,0.7,
"Vitamin D",IU,27,
"Vitamin K (phylloquinone)",µg,0.0,
Lipids
"Fatty acids, total saturated",g,1.786,
"Fatty acids, total monounsaturated",g,0.609,
"Fatty acids, total polyunsaturated",g,0.187,
"Fatty acids, total trans",g,0.019,
"Cholesterol",mg,50,
Amino Acids
Other
"Caffeine",mg,0,
