Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 15:03 EST
"Nutrient data for: 15090, Fish, scup, raw"
Nutrient,Unit,1Value per 100 g,"3.0 oz = 85.0g","1 oz, boneless = 28.35g","1 fillet = 64.0g","1 cup = 166.0g",
Proximates
"Water",g,75.37,64.06,21.37,48.24,125.11
"Energy",kcal,105,89,30,67,174
"Protein",g,18.88,16.05,5.35,12.08,31.34
"Total lipid (fat)",g,2.73,2.32,0.77,1.75,4.53
"Carbohydrate, by difference",g,0.00,0.00,0.00,0.00,0.00
"Fiber, total dietary",g,0.0,0.0,0.0,0.0,0.0
"Sugars, total",g,0.00,0.00,0.00,0.00,0.00
Minerals
"Calcium, Ca",mg,40,34,11,26,66
"Iron, Fe",mg,0.53,0.45,0.15,0.34,0.88
"Magnesium, Mg",mg,23,20,7,15,38
"Phosphorus, P",mg,185,157,52,118,307
"Potassium, K",mg,287,244,81,184,476
"Sodium, Na",mg,42,36,12,27,70
"Zinc, Zn",mg,0.48,0.41,0.14,0.31,0.80
Vitamins
"Vitamin C, total ascorbic acid",mg,0.0,0.0,0.0,0.0,0.0
"Thiamin",mg,0.110,0.093,0.031,0.070,0.183
"Riboflavin",mg,0.100,0.085,0.028,0.064,0.166
"Niacin",mg,4.100,3.485,1.162,2.624,6.806
"Vitamin B-6",mg,0.300,0.255,0.085,0.192,0.498
"Folate, DFE",µg,15,13,4,10,25
"Vitamin B-12",µg,1.40,1.19,0.40,0.90,2.32
"Vitamin A, RAE",µg,27,23,8,17,45
"Vitamin A, IU",IU,90,76,26,58,149
"Vitamin E (alpha-tocopherol)",mg,0.50,0.42,0.14,0.32,0.83
"Vitamin D (D2 + D3)",µg,1.2,1.0,0.3,0.8,2.0
"Vitamin D",IU,47,40,13,30,78
"Vitamin K (phylloquinone)",µg,0.1,0.1,0.0,0.1,0.2
Lipids
"Fatty acids, total saturated",g,0.640,0.544,0.181,0.410,1.062
"Fatty acids, total monounsaturated",g,0.560,0.476,0.159,0.358,0.930
"Fatty acids, total polyunsaturated",g,1.030,0.875,0.292,0.659,1.710
"Cholesterol",mg,52,44,15,33,86
Amino Acids
Other
"Caffeine",mg,0,0,0,0,0
