Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 14:19 EST
"Nutrient data for: 07976, Sausage, chicken or turkey, Italian style,  lower sodium"
Nutrient,Unit,1Value per 100 g,
Proximates
"Water",g,56.01,
"Energy",kcal,183,
"Protein",g,21.43,
"Total lipid (fat)",g,4.46,
"Carbohydrate, by difference",g,14.25,
"Fiber, total dietary",g,0.0,
"Sugars, total",g,0.81,
Minerals
"Calcium, Ca",mg,0,
"Iron, Fe",mg,1.29,
"Magnesium, Mg",mg,43,
"Phosphorus, P",mg,286,
"Potassium, K",mg,1062,
"Sodium, Na",mg,446,
"Zinc, Zn",mg,2.41,
Vitamins
"Vitamin C, total ascorbic acid",mg,0.0,
"Thiamin",mg,0.396,
"Riboflavin",mg,0.469,
"Niacin",mg,12.857,
"Vitamin B-6",mg,0.536,
"Folate, DFE",µg,71,
"Vitamin B-12",µg,0.15,
"Vitamin A, RAE",µg,0,
"Vitamin A, IU",IU,0,
"Vitamin E (alpha-tocopherol)",mg,1.35,
"Vitamin D (D2 + D3)",µg,0.1,
"Vitamin D",IU,5,
"Vitamin K (phylloquinone)",µg,34.8,
Lipids
"Fatty acids, total saturated",g,0.893,
"Fatty acids, total monounsaturated",g,1.797,
"Fatty acids, total polyunsaturated",g,1.526,
"Fatty acids, total trans",g,0.018,
"Cholesterol",mg,36,
Amino Acids
Other
"Caffeine",mg,0,
