Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 22:13 EST
"Nutrient data for: 20124, Pasta, whole-wheat, dry"
Nutrient,Unit,1Value per 100 g,"1 cup spaghetti = 91.0g","1 cup elbows = 122.0g","1 cup penne = 95.0g","1 cup farfalle = 81.0g","1 cup rotini = 96.0g","1 cup shells = 64.0g","1 cup lasagne = 90.0g",
Proximates
"Water",g,8.21,7.47,10.02,7.80,6.65,7.88,5.25,7.39
"Energy",kcal,352,320,429,334,285,338,225,317
"Protein",g,13.87,12.62,16.92,13.18,11.23,13.32,8.88,12.48
"Total lipid (fat)",g,2.93,2.67,3.57,2.78,2.37,2.81,1.88,2.64
"Carbohydrate, by difference",g,73.37,66.77,89.51,69.70,59.43,70.44,46.96,66.03
"Fiber, total dietary",g,9.2,8.4,11.2,8.7,7.5,8.8,5.9,8.3
"Sugars, total",g,2.74,2.49,3.34,2.60,2.22,2.63,1.75,2.47
Minerals
"Calcium, Ca",mg,29,26,35,28,23,28,19,26
"Iron, Fe",mg,3.62,3.29,4.42,3.44,2.93,3.48,2.32,3.26
"Magnesium, Mg",mg,128,116,156,122,104,123,82,115
"Phosphorus, P",mg,343,312,418,326,278,329,220,309
"Potassium, K",mg,434,395,529,412,352,417,278,391
"Sodium, Na",mg,6,5,7,6,5,6,4,5
"Zinc, Zn",mg,2.97,2.70,3.62,2.82,2.41,2.85,1.90,2.67
Vitamins
"Thiamin",mg,0.407,0.370,0.497,0.387,0.330,0.391,0.260,0.366
"Riboflavin",mg,0.218,0.198,0.266,0.207,0.177,0.209,0.140,0.196
"Niacin",mg,8.691,7.909,10.603,8.256,7.040,8.343,5.562,7.822
"Vitamin B-6",mg,0.283,0.258,0.345,0.269,0.229,0.272,0.181,0.255
"Folate, DFE",µg,69,63,84,66,56,66,44,62
"Vitamin B-12",µg,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Vitamin E (alpha-tocopherol)",mg,0.46,0.42,0.56,0.44,0.37,0.44,0.29,0.41
"Vitamin D (D2 + D3)",µg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Vitamin D",IU,0,0,0,0,0,0,0,0
"Vitamin K (phylloquinone)",µg,1.4,1.3,1.7,1.3,1.1,1.3,0.9,1.3
Lipids
"Fatty acids, total saturated",g,0.428,0.389,0.522,0.407,0.347,0.411,0.274,0.385
"Fatty acids, total monounsaturated",g,0.361,0.329,0.440,0.343,0.292,0.347,0.231,0.325
"Fatty acids, total polyunsaturated",g,1.136,1.034,1.386,1.079,0.920,1.091,0.727,1.022
"Fatty acids, total trans",g,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.002
"Cholesterol",mg,0,0,0,0,0,0,0,0
Amino Acids
Other
