Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 22:43 EST
"Nutrient data for: 03274, Babyfood, dinner, vegetables and chicken, junior"
Nutrient,Unit,1Value per 100 g,"1 cup = 256.0g","1 tbsp = 16.0g","1 oz = 28.35g","1 jar = 170.0g","1 jar Beech-Nut Stage 3 (6 oz) = 170.0g","1 jar Gerber Third Foods (6 oz) = 170.0g",
Proximates
"Water",g,87.76,224.67,14.04,24.88,149.19,149.19,149.19
"Energy",kcal,53,136,8,15,90,90,90
"Protein",g,2.04,5.22,0.33,0.58,3.47,3.47,3.47
"Total lipid (fat)",g,1.12,2.87,0.18,0.32,1.90,1.90,1.90
"Carbohydrate, by difference",g,8.66,22.17,1.39,2.46,14.72,14.72,14.72
"Fiber, total dietary",g,1.1,2.8,0.2,0.3,1.9,1.9,1.9
"Sugars, total",g,1.46,3.74,0.23,0.41,2.48,2.48,2.48
Minerals
"Calcium, Ca",mg,27,69,4,8,46,46,46
"Iron, Fe",mg,0.33,0.84,0.05,0.09,0.56,0.56,0.56
"Magnesium, Mg",mg,8,20,1,2,14,14,14
"Phosphorus, P",mg,32,82,5,9,54,54,54
"Potassium, K",mg,83,212,13,24,141,141,141
"Sodium, Na",mg,34,87,5,10,58,58,58
"Zinc, Zn",mg,0.30,0.77,0.05,0.09,0.51,0.51,0.51
Vitamins
"Vitamin C, total ascorbic acid",mg,0.2,0.5,0.0,0.1,0.3,0.3,0.3
"Thiamin",mg,0.025,0.064,0.004,0.007,0.043,0.043,0.043
"Riboflavin",mg,0.046,0.118,0.007,0.013,0.078,0.078,0.078
"Niacin",mg,0.628,1.608,0.100,0.178,1.068,1.068,1.068
"Vitamin B-6",mg,0.046,0.118,0.007,0.013,0.078,0.078,0.078
"Folate, DFE",µg,3,8,0,1,5,5,5
"Vitamin B-12",µg,0.02,0.05,0.00,0.01,0.03,0.03,0.03
"Vitamin A, RAE",µg,131,335,21,37,223,223,223
"Vitamin A, IU",IU,2612,6687,418,741,4440,4440,4440
"Vitamin E (alpha-tocopherol)",mg,0.16,0.41,0.03,0.05,0.27,0.27,0.27
"Vitamin D (D2 + D3)",µg,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Vitamin D",IU,2,5,0,1,3,3,3
"Vitamin K (phylloquinone)",µg,2.1,5.4,0.3,0.6,3.6,3.6,3.6
Lipids
"Fatty acids, total saturated",g,0.302,0.773,0.048,0.086,0.513,0.513,0.513
"Fatty acids, total monounsaturated",g,0.402,1.029,0.064,0.114,0.683,0.683,0.683
"Fatty acids, total polyunsaturated",g,0.269,0.689,0.043,0.076,0.457,0.457,0.457
"Cholesterol",mg,7,18,1,2,12,12,12
Amino Acids
Other
"Caffeine",mg,0,0,0,0,0,0,0
