Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 21:56 EST
"Nutrient data for: 23533, Beef, shoulder steak, boneless, separable lean and fat, trimmed to 0"" fat, choice, cooked, grilled"
Nutrient,Unit,1Value per 100 g,
Proximates
"Water",g,63.61,
"Energy",kcal,186,
"Protein",g,28.22,
"Total lipid (fat)",g,7.25,
"Carbohydrate, by difference",g,0.00,
"Fiber, total dietary",g,0.0,
"Sugars, total",g,0.00,
Minerals
"Calcium, Ca",mg,12,
"Iron, Fe",mg,2.90,
"Magnesium, Mg",mg,26,
"Phosphorus, P",mg,245,
"Potassium, K",mg,367,
"Sodium, Na",mg,67,
"Zinc, Zn",mg,7.89,
Vitamins
"Vitamin C, total ascorbic acid",mg,0.0,
"Thiamin",mg,0.079,
"Riboflavin",mg,0.216,
"Niacin",mg,5.553,
"Vitamin B-6",mg,0.673,
"Folate, DFE",µg,7,
"Vitamin B-12",µg,3.27,
"Vitamin A, RAE",µg,6,
"Vitamin A, IU",IU,19,
"Vitamin E (alpha-tocopherol)",mg,0.11,
"Vitamin D (D2 + D3)",µg,0.1,
"Vitamin D",IU,5,
"Vitamin K (phylloquinone)",µg,1.6,
Lipids
"Fatty acids, total saturated",g,3.090,
"Fatty acids, total monounsaturated",g,3.785,
"Fatty acids, total polyunsaturated",g,0.453,
"Fatty acids, total trans",g,0.368,
"Cholesterol",mg,81,
Amino Acids
Other
"Caffeine",mg,0,
