Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 21:56 EST
"Nutrient data for: 23112, Beef, shoulder pot roast or steak, boneless, separable lean and fat, trimmed to 0"" fat, select, raw"
Nutrient,Unit,1Value per 100 g,"3.0 oz = 85.0g","1 steak = 381.0g","1 roast = 1139.0g",
Proximates
"Water",g,73.01,62.06,278.17,831.58
"Energy",kcal,127,108,484,1447
"Protein",g,21.72,18.46,82.75,247.39
"Total lipid (fat)",g,4.44,3.77,16.92,50.57
"Carbohydrate, by difference",g,0.00,0.00,0.00,0.00
"Fiber, total dietary",g,0.0,0.0,0.0,0.0
"Sugars, total",g,0.00,0.00,0.00,0.00
Minerals
"Calcium, Ca",mg,12,10,46,137
"Iron, Fe",mg,2.56,2.18,9.75,29.16
"Magnesium, Mg",mg,26,22,99,296
"Phosphorus, P",mg,233,198,888,2654
"Potassium, K",mg,383,326,1459,4362
"Sodium, Na",mg,70,60,267,797
"Zinc, Zn",mg,6.88,5.85,26.21,78.36
Vitamins
"Vitamin C, total ascorbic acid",mg,0.0,0.0,0.0,0.0
"Thiamin",mg,0.090,0.076,0.343,1.025
"Riboflavin",mg,0.212,0.180,0.808,2.415
"Niacin",mg,4.619,3.926,17.598,52.610
"Vitamin B-6",mg,0.595,0.506,2.267,6.777
"Folate, DFE",µg,3,3,11,34
"Vitamin B-12",µg,2.83,2.41,10.78,32.23
"Vitamin A, RAE",µg,3,3,11,34
"Vitamin A, IU",IU,12,10,46,137
"Vitamin E (alpha-tocopherol)",mg,0.16,0.14,0.61,1.82
"Vitamin D (D2 + D3)",µg,0.0,0.0,0.0,0.0
"Vitamin D",IU,1,1,4,11
"Vitamin K (phylloquinone)",µg,1.5,1.3,5.7,17.1
Lipids
"Fatty acids, total saturated",g,1.897,1.612,7.228,21.607
"Fatty acids, total monounsaturated",g,2.271,1.930,8.653,25.867
"Fatty acids, total polyunsaturated",g,0.320,0.272,1.219,3.645
"Fatty acids, total trans",g,0.269,0.229,1.025,3.064
"Cholesterol",mg,68,58,259,775
Amino Acids
Other
"Caffeine",mg,0,0,0,0
