Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 21:48 EST
"Nutrient data for: 23213, Beef, rib eye steak/roast, boneless, lip-on, separable lean and fat, trimmed to 1/8"" fat, select, raw"
Nutrient,Unit,1Value per 100 g,"3.0 oz = 85.0g","1 steak = 376.0g","1 roast = 2203.0g",
Proximates
"Water",g,63.08,53.62,237.18,1389.65
"Energy",kcal,230,196,865,5067
"Protein",g,19.55,16.62,73.51,430.69
"Total lipid (fat)",g,16.90,14.36,63.54,372.31
"Carbohydrate, by difference",g,0.00,0.00,0.00,0.00
"Fiber, total dietary",g,0.0,0.0,0.0,0.0
"Sugars, total",g,0.00,0.00,0.00,0.00
Minerals
"Calcium, Ca",mg,7,6,26,154
"Iron, Fe",mg,1.64,1.39,6.17,36.13
"Magnesium, Mg",mg,20,17,75,441
"Phosphorus, P",mg,137,116,515,3018
"Potassium, K",mg,256,218,963,5640
"Sodium, Na",mg,50,42,188,1102
"Zinc, Zn",mg,4.88,4.15,18.35,107.51
Vitamins
"Vitamin C, total ascorbic acid",mg,0.0,0.0,0.0,0.0
"Thiamin",mg,0.086,0.073,0.323,1.895
"Riboflavin",mg,0.233,0.198,0.876,5.133
"Niacin",mg,4.759,4.045,17.894,104.841
"Vitamin B-6",mg,0.388,0.330,1.459,8.548
"Folate, DFE",µg,3,3,11,66
"Vitamin B-12",µg,1.61,1.37,6.05,35.47
"Vitamin A, RAE",µg,5,4,19,110
"Vitamin A, IU",IU,16,14,60,352
"Vitamin E (alpha-tocopherol)",mg,0.10,0.09,0.38,2.20
"Vitamin D (D2 + D3)",µg,0.1,0.1,0.4,2.2
"Vitamin D",IU,5,4,19,110
"Vitamin K (phylloquinone)",µg,1.5,1.3,5.6,33.0
Lipids
"Fatty acids, total saturated",g,7.515,6.388,28.256,165.555
"Fatty acids, total monounsaturated",g,8.092,6.878,30.426,178.267
"Fatty acids, total polyunsaturated",g,0.825,0.701,3.102,18.175
"Fatty acids, total trans",g,1.054,0.896,3.963,23.220
"Cholesterol",mg,74,63,278,1630
Amino Acids
Other
"Caffeine",mg,0,0,0,0
