Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 03:06 EST
"Nutrient data for: 06143, USDA Commodity, spaghetti sauce, meatless, canned"
Nutrient,Unit,1Value per 100 g,
Proximates
"Water",g,87.10,
"Energy",kcal,48,
"Protein",g,1.20,
"Total lipid (fat)",g,0.90,
"Carbohydrate, by difference",g,8.70,
"Sugars, total",g,4.70,
Minerals
"Calcium, Ca",mg,20,
"Iron, Fe",mg,0.90,
"Magnesium, Mg",mg,13,
"Phosphorus, P",mg,25,
"Potassium, K",mg,292,
"Sodium, Na",mg,590,
"Zinc, Zn",mg,0.21,
Vitamins
"Vitamin C, total ascorbic acid",mg,3.9,
"Thiamin",mg,0.030,
"Riboflavin",mg,0.120,
"Niacin",mg,0.730,
"Vitamin B-6",mg,0.060,
"Vitamin B-12",µg,0.00,
"Vitamin A, RAE",µg,17,
"Vitamin A, IU",IU,335,
Lipids
"Fatty acids, total saturated",g,0.162,
"Fatty acids, total monounsaturated",g,0.210,
"Fatty acids, total polyunsaturated",g,0.510,
"Cholesterol",mg,0,
Amino Acids
Other
