Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 03:00 EST
"Nutrient data for: 06960, Sauce, alfredo mix, dry"
Nutrient,Unit,1Value per 100 g,
Proximates
"Water",g,2.05,
"Energy",kcal,535,
"Protein",g,15.32,
"Total lipid (fat)",g,36.35,
"Carbohydrate, by difference",g,36.52,
"Fiber, total dietary",g,2.0,
"Sugars, total",g,5.40,
Minerals
"Calcium, Ca",mg,467,
"Iron, Fe",mg,0.94,
"Magnesium, Mg",mg,32,
"Phosphorus, P",mg,415,
"Potassium, K",mg,254,
"Sodium, Na",mg,2590,
"Zinc, Zn",mg,1.49,
Vitamins
"Vitamin C, total ascorbic acid",mg,0.0,
"Thiamin",mg,0.156,
"Riboflavin",mg,0.054,
"Niacin",mg,2.070,
"Vitamin B-6",mg,0.134,
"Folate, DFE",µg,4,
"Vitamin B-12",µg,0.38,
"Vitamin A, RAE",µg,54,
"Vitamin A, IU",IU,213,
"Vitamin E (alpha-tocopherol)",mg,1.84,
"Vitamin K (phylloquinone)",µg,6.2,
Lipids
"Fatty acids, total saturated",g,13.180,
"Fatty acids, total monounsaturated",g,13.669,
"Fatty acids, total polyunsaturated",g,8.610,
"Cholesterol",mg,56,
Amino Acids
Other
"Caffeine",mg,0,
