Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 03:00 EST
"Nutrient data for: 06720, Sauce, cheese sauce mix, dry"
Nutrient,Unit,1Value per 100 g,
Proximates
"Water",g,3.78,
"Energy",kcal,438,
"Protein",g,7.68,
"Total lipid (fat)",g,18.33,
"Carbohydrate, by difference",g,60.52,
"Fiber, total dietary",g,1.0,
"Sugars, total",g,10.26,
Minerals
"Calcium, Ca",mg,204,
"Iron, Fe",mg,0.50,
"Magnesium, Mg",mg,36,
"Phosphorus, P",mg,283,
"Potassium, K",mg,428,
"Sodium, Na",mg,3202,
"Zinc, Zn",mg,1.11,
Vitamins
"Vitamin C, total ascorbic acid",mg,0.9,
"Thiamin",mg,0.211,
"Riboflavin",mg,0.678,
"Niacin",mg,2.399,
"Vitamin B-6",mg,0.182,
"Folate, DFE",µg,134,
"Vitamin B-12",µg,0.46,
"Vitamin A, RAE",µg,56,
"Vitamin A, IU",IU,202,
Lipids
"Fatty acids, total saturated",g,8.440,
"Fatty acids, total monounsaturated",g,6.868,
"Fatty acids, total polyunsaturated",g,0.983,
"Cholesterol",mg,23,
Amino Acids
Other
