Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 22:54 EST
"Nutrient data for: 19441, Snacks, KELLOGG'S, NUTRI-GRAIN Cereal Bars, fruit"
Nutrient,Unit,1Value per 100 g,
Proximates
"Water",g,16.70,
"Energy",kcal,365,
"Protein",g,4.22,
"Total lipid (fat)",g,8.67,
"Carbohydrate, by difference",g,67.61,
"Fiber, total dietary",g,3.0,
"Sugars, total",g,28.98,
Minerals
"Calcium, Ca",mg,576,
"Iron, Fe",mg,6.14,
"Magnesium, Mg",mg,37,
"Phosphorus, P",mg,134,
"Potassium, K",mg,247,
"Sodium, Na",mg,354,
"Zinc, Zn",mg,5.24,
Vitamins
"Vitamin C, total ascorbic acid",mg,7.8,
"Thiamin",mg,1.153,
"Riboflavin",mg,2.067,
"Niacin",mg,19.267,
"Vitamin B-6",mg,1.833,
"Folate, DFE",µg,14,
"Vitamin B-12",µg,0.00,
"Vitamin A, RAE",µg,604,
"Vitamin A, IU",IU,2027,
"Vitamin E (alpha-tocopherol)",mg,0.93,
"Vitamin D (D2 + D3)",µg,0.0,
"Vitamin D",IU,0,
"Vitamin K (phylloquinone)",µg,15.3,
Lipids
"Fatty acids, total saturated",g,1.442,
"Fatty acids, total monounsaturated",g,1.989,
"Fatty acids, total polyunsaturated",g,4.544,
"Fatty acids, total trans",g,0.022,
"Cholesterol",mg,0,
Amino Acids
Other
"Caffeine",mg,0,
