Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 22:52 EST
"Nutrient data for: 25068, Snack, BALANCE, original bar"
Nutrient,Unit,1Value per 100 g,
Proximates
"Water",g,7.76,
"Energy",kcal,415,
"Protein",g,28.00,
"Total lipid (fat)",g,12.00,
"Carbohydrate, by difference",g,48.73,
"Fiber, total dietary",g,3.1,
"Sugars, total",g,34.89,
Minerals
"Calcium, Ca",mg,543,
"Iron, Fe",mg,10.90,
"Magnesium, Mg",mg,119,
"Phosphorus, P",mg,465,
"Potassium, K",mg,678,
"Sodium, Na",mg,253,
"Zinc, Zn",mg,3.52,
Vitamins
"Vitamin C, total ascorbic acid",mg,11.2,
"Thiamin",mg,1.628,
"Riboflavin",mg,1.708,
"Niacin",mg,8.991,
"Vitamin B-6",mg,0.890,
"Folate, DFE",µg,126,
"Vitamin B-12",µg,1.24,
"Vitamin A, RAE",µg,1496,
"Vitamin A, IU",IU,5000,
"Vitamin E (alpha-tocopherol)",mg,5.84,
"Vitamin D (D2 + D3)",µg,1.6,
"Vitamin D",IU,65,
"Vitamin K (phylloquinone)",µg,1.3,
Lipids
"Fatty acids, total saturated",g,1.149,
"Fatty acids, total monounsaturated",g,8.115,
"Fatty acids, total polyunsaturated",g,1.969,
"Fatty acids, total trans",g,0.001,
"Cholesterol",mg,1,
Amino Acids
Other
"Caffeine",mg,4,
