Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 14:49 EST
"Nutrient data for: 19013, Snacks, fruit leather, pieces"
Nutrient,Unit,1Value per 100 g,"1 oz = 28.35g","1 package = 27.0g","1 packet (.75 oz) = 21.0g",
Proximates
"Water",g,12.30,3.49,3.32,2.58
"Energy",kcal,359,102,97,75
"Protein",g,1.00,0.28,0.27,0.21
"Total lipid (fat)",g,2.68,0.76,0.72,0.56
"Carbohydrate, by difference",g,82.82,23.48,22.36,17.39
"Fiber, total dietary",g,0.0,0.0,0.0,0.0
"Sugars, total",g,57.58,16.32,15.55,12.09
Minerals
"Calcium, Ca",mg,18,5,5,4
"Iron, Fe",mg,0.75,0.21,0.20,0.16
"Magnesium, Mg",mg,14,4,4,3
"Phosphorus, P",mg,24,7,6,5
"Potassium, K",mg,164,46,44,34
"Sodium, Na",mg,403,114,109,85
"Zinc, Zn",mg,0.19,0.05,0.05,0.04
Vitamins
"Vitamin C, total ascorbic acid",mg,56.0,15.9,15.1,11.8
"Thiamin",mg,0.043,0.012,0.012,0.009
"Riboflavin",mg,0.100,0.028,0.027,0.021
"Niacin",mg,0.100,0.028,0.027,0.021
"Vitamin B-6",mg,0.300,0.085,0.081,0.063
"Folate, DFE",µg,4,1,1,1
"Vitamin B-12",µg,0.00,0.00,0.00,0.00
"Vitamin A, RAE",µg,6,2,2,1
"Vitamin A, IU",IU,58,16,16,12
"Vitamin E (alpha-tocopherol)",mg,0.56,0.16,0.15,0.12
"Vitamin D (D2 + D3)",µg,0.0,0.0,0.0,0.0
"Vitamin D",IU,0,0,0,0
"Vitamin K (phylloquinone)",µg,18.2,5.2,4.9,3.8
Lipids
"Fatty acids, total saturated",g,0.650,0.184,0.176,0.137
"Fatty acids, total monounsaturated",g,1.480,0.420,0.400,0.311
"Fatty acids, total polyunsaturated",g,0.550,0.156,0.149,0.116
"Cholesterol",mg,0,0,0,0
Amino Acids
Other
"Caffeine",mg,0,0,0,0
