Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 14:49 EST
"Nutrient data for: 19223, Rennin, vanilla, dry mix, prepared with whole milk"
Nutrient,Unit,1Value per 100 g,
Proximates
"Water",g,80.98,
"Energy",kcal,89,
"Protein",g,3.03,
"Total lipid (fat)",g,3.07,
"Carbohydrate, by difference",g,12.21,
"Fiber, total dietary",g,0.0,
Minerals
"Calcium, Ca",mg,119,
"Iron, Fe",mg,0.05,
"Magnesium, Mg",mg,12,
"Phosphorus, P",mg,93,
"Potassium, K",mg,140,
"Sodium, Na",mg,46,
"Zinc, Zn",mg,0.35,
Vitamins
"Vitamin C, total ascorbic acid",mg,0.9,
"Thiamin",mg,0.035,
"Riboflavin",mg,0.151,
"Niacin",mg,0.077,
"Vitamin B-6",mg,0.039,
"Folate, DFE",µg,5,
"Vitamin B-12",µg,0.33,
"Vitamin A, RAE",µg,27,
"Vitamin A, IU",IU,115,
"Vitamin D (D2 + D3)",µg,0.9,
"Vitamin D",IU,37,
Lipids
"Fatty acids, total saturated",g,1.846,
"Fatty acids, total monounsaturated",g,0.842,
"Fatty acids, total polyunsaturated",g,0.114,
"Cholesterol",mg,13,
Amino Acids
Other
"Caffeine",mg,0,
