Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 14:34 EST
"Nutrient data for: 19109, Candies, KIT KAT Wafer Bar"
Nutrient,Unit,1Value per 100 g,"1 bar (1.5 oz) = 42.0g","1 bar, miniature (.35 oz) = 10.0g","1 bar (1.625 oz) = 46.0g","1 bar (2.8 oz) = 78.0g","1 bar (3.375 oz) = 96.0g",
Proximates
"Water",g,1.63,0.68,0.16,0.75,1.27,1.56
"Energy",kcal,518,218,52,238,404,497
"Protein",g,6.51,2.73,0.65,2.99,5.08,6.25
"Total lipid (fat)",g,25.99,10.92,2.60,11.96,20.27,24.95
"Carbohydrate, by difference",g,64.59,27.13,6.46,29.71,50.38,62.01
"Fiber, total dietary",g,1.0,0.4,0.1,0.5,0.8,1.0
"Sugars, total",g,48.68,20.45,4.87,22.39,37.97,46.73
Minerals
"Calcium, Ca",mg,125,52,12,58,98,120
"Iron, Fe",mg,1.00,0.42,0.10,0.46,0.78,0.96
"Magnesium, Mg",mg,37,16,4,17,29,36
"Phosphorus, P",mg,135,57,14,62,105,130
"Potassium, K",mg,231,97,23,106,180,222
"Sodium, Na",mg,54,23,5,25,42,52
"Zinc, Zn",mg,0.09,0.04,0.01,0.04,0.07,0.09
Vitamins
"Vitamin C, total ascorbic acid",mg,0.0,0.0,0.0,0.0,0.0,0.0
"Thiamin",mg,0.117,0.049,0.012,0.054,0.091,0.112
"Riboflavin",mg,0.210,0.088,0.021,0.097,0.164,0.202
"Niacin",mg,0.500,0.210,0.050,0.230,0.390,0.480
"Vitamin B-6",mg,0.020,0.008,0.002,0.009,0.016,0.019
"Folate, DFE",µg,18,8,2,8,14,17
"Vitamin B-12",µg,0.56,0.24,0.06,0.26,0.44,0.54
"Vitamin A, RAE",µg,24,10,2,11,19,23
"Vitamin A, IU",IU,81,34,8,37,63,78
"Vitamin E (alpha-tocopherol)",mg,0.34,0.14,0.03,0.16,0.27,0.33
"Vitamin D (D2 + D3)",µg,0.0,0.0,0.0,0.0,0.0,0.0
"Vitamin D",IU,0,0,0,0,0,0
"Vitamin K (phylloquinone)",µg,5.2,2.2,0.5,2.4,4.1,5.0
Lipids
"Fatty acids, total saturated",g,17.953,7.540,1.795,8.258,14.003,17.235
"Fatty acids, total monounsaturated",g,5.844,2.454,0.584,2.688,4.558,5.610
"Fatty acids, total polyunsaturated",g,0.895,0.376,0.089,0.412,0.698,0.859
"Fatty acids, total trans",g,0.099,0.042,0.010,0.046,0.077,0.095
"Cholesterol",mg,11,5,1,5,9,11
Amino Acids
Other
"Caffeine",mg,14,6,1,6,11,13
