Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 14:49 EST
"Nutrient data for: 19221, Rennin, chocolate, dry mix, prepared with whole milk"
Nutrient,Unit,1Value per 100 g,
Proximates
"Water",g,79.29,
"Energy",kcal,96,
"Protein",g,3.20,
"Total lipid (fat)",g,3.34,
"Carbohydrate, by difference",g,13.34,
"Fiber, total dietary",g,0.5,
Minerals
"Calcium, Ca",mg,124,
"Iron, Fe",mg,0.30,
"Magnesium, Mg",mg,20,
"Phosphorus, P",mg,97,
"Potassium, K",mg,179,
"Sodium, Na",mg,51,
"Zinc, Zn",mg,0.50,
Vitamins
"Vitamin C, total ascorbic acid",mg,0.8,
"Thiamin",mg,0.036,
"Riboflavin",mg,0.152,
"Niacin",mg,0.106,
"Vitamin B-6",mg,0.041,
"Folate, DFE",µg,5,
"Vitamin B-12",µg,0.32,
"Vitamin A, RAE",µg,27,
"Vitamin A, IU",IU,110,
"Vitamin D (D2 + D3)",µg,0.9,
"Vitamin D",IU,36,
Lipids
"Fatty acids, total saturated",g,1.999,
"Fatty acids, total monounsaturated",g,0.932,
"Fatty acids, total polyunsaturated",g,0.121,
"Cholesterol",mg,12,
Amino Acids
Other
"Caffeine",mg,1,
