Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 22:28 EST
"Nutrient data for: 11397, Potatoes, o'brien, frozen, prepared"
Nutrient,Unit,1Value per 100 g,
Proximates
"Water",g,61.96,
"Energy",kcal,204,
"Protein",g,2.22,
"Total lipid (fat)",g,13.21,
"Carbohydrate, by difference",g,21.86,
"Fiber, total dietary",g,1.7,
Minerals
"Calcium, Ca",mg,20,
"Iron, Fe",mg,0.96,
"Magnesium, Mg",mg,34,
"Phosphorus, P",mg,93,
"Potassium, K",mg,473,
"Sodium, Na",mg,43,
"Zinc, Zn",mg,0.55,
Vitamins
"Vitamin C, total ascorbic acid",mg,10.4,
"Thiamin",mg,0.052,
"Riboflavin",mg,0.135,
"Niacin",mg,1.448,
"Vitamin B-6",mg,0.377,
"Folate, DFE",µg,12,
"Vitamin B-12",µg,0.00,
"Vitamin A, RAE",µg,9,
"Vitamin A, IU",IU,188,
"Vitamin D (D2 + D3)",µg,0.0,
"Vitamin D",IU,0,
Lipids
"Fatty acids, total saturated",g,3.313,
"Fatty acids, total monounsaturated",g,5.824,
"Fatty acids, total polyunsaturated",g,3.474,
"Cholesterol",mg,0,
Amino Acids
Other
