Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 22:59 EST
"Nutrient data for: 16558, MORNINGSTAR FARMS Italian Herb Chik'n Pattie, frozen, unprepared"
Nutrient,Unit,1Value per 100 g,
Proximates
"Water",g,46.90,
"Energy",kcal,236,
"Protein",g,13.60,
"Total lipid (fat)",g,7.00,
"Carbohydrate, by difference",g,31.10,
"Fiber, total dietary",g,3.4,
"Sugars, total",g,1.50,
Minerals
"Calcium, Ca",mg,50,
"Iron, Fe",mg,3.80,
"Phosphorus, P",mg,140,
"Potassium, K",mg,483,
"Sodium, Na",mg,682,
Vitamins
"Vitamin C, total ascorbic acid",mg,0.0,
"Thiamin",mg,0.400,
"Riboflavin",mg,0.100,
"Niacin",mg,5.600,
"Vitamin B-6",mg,0.300,
"Folate, DFE",µg,13,
"Vitamin B-12",µg,2.10,
"Vitamin A, IU",IU,47,
Lipids
"Fatty acids, total saturated",g,0.800,
"Fatty acids, total monounsaturated",g,1.300,
"Fatty acids, total polyunsaturated",g,4.800,
"Fatty acids, total trans",g,0.100,
"Cholesterol",mg,0,
Amino Acids
Other
