Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 14:07 EST
"Nutrient data for: 17432, Veal, external fat only, cooked"
Nutrient,Unit,1Value per 100 g,
Proximates
"Water",g,32.69,
"Energy",kcal,540,
"Protein",g,15.28,
"Total lipid (fat)",g,53.23,
"Carbohydrate, by difference",g,0.00,
"Fiber, total dietary",g,0.0,
"Sugars, total",g,0.00,
Minerals
"Calcium, Ca",mg,58,
"Iron, Fe",mg,1.09,
"Magnesium, Mg",mg,26,
"Phosphorus, P",mg,168,
"Potassium, K",mg,152,
"Sodium, Na",mg,103,
"Zinc, Zn",mg,1.42,
Vitamins
"Vitamin C, total ascorbic acid",mg,0.0,
"Thiamin",mg,0.053,
"Riboflavin",mg,0.160,
"Niacin",mg,4.160,
"Vitamin B-6",mg,0.214,
"Folate, DFE",µg,0,
"Vitamin B-12",µg,1.61,
"Vitamin A, RAE",µg,0,
"Vitamin A, IU",IU,0,
"Vitamin E (alpha-tocopherol)",mg,0.45,
"Vitamin D (D2 + D3)",µg,3.6,
"Vitamin D",IU,142,
"Vitamin K (phylloquinone)",µg,2.4,
Lipids
"Fatty acids, total saturated",g,17.754,
"Fatty acids, total monounsaturated",g,23.864,
"Fatty acids, total polyunsaturated",g,1.709,
"Fatty acids, total trans",g,2.051,
"Cholesterol",mg,85,
Amino Acids
Other
"Caffeine",mg,0,
