Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 14:02 EST
"Nutrient data for: 17355, Lamb, New Zealand, imported, Intermuscular fat, raw"
Nutrient,Unit,1Value per 100 g,
Proximates
"Water",g,25.36,
"Energy",kcal,640,
"Protein",g,4.63,
"Total lipid (fat)",g,68.53,
"Carbohydrate, by difference",g,1.26,
"Fiber, total dietary",g,0.0,
"Sugars, total",g,0.00,
Minerals
"Calcium, Ca",mg,5,
"Iron, Fe",mg,0.72,
"Magnesium, Mg",mg,6,
"Phosphorus, P",mg,61,
"Potassium, K",mg,119,
"Sodium, Na",mg,34,
"Zinc, Zn",mg,0.87,
Vitamins
"Vitamin C, total ascorbic acid",mg,0.0,
"Thiamin",mg,0.094,
"Riboflavin",mg,0.034,
"Niacin",mg,1.130,
"Vitamin B-6",mg,0.052,
"Vitamin B-12",µg,0.45,
"Vitamin A, RAE",µg,46,
"Vitamin A, IU",IU,153,
"Vitamin E (alpha-tocopherol)",mg,0.84,
"Vitamin D (D2 + D3)",µg,0.3,
"Vitamin D",IU,10,
Lipids
"Fatty acids, total saturated",g,30.741,
"Fatty acids, total monounsaturated",g,19.183,
"Fatty acids, total polyunsaturated",g,2.359,
"Fatty acids, total trans",g,4.095,
"Cholesterol",mg,75,
Amino Acids
Other
"Caffeine",mg,0,
