Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 13:55 EST
"Nutrient data for: 17452, Lamb, Australian, imported, fresh, seam fat, raw"
Nutrient,Unit,1Value per 100 g,
Proximates
"Water",g,40.32,
"Energy",kcal,459,
"Protein",g,15.65,
"Total lipid (fat)",g,44.01,
"Carbohydrate, by difference",g,0.00,
"Fiber, total dietary",g,0.0,
"Sugars, total",g,0.00,
Minerals
"Calcium, Ca",mg,6,
"Iron, Fe",mg,0.98,
"Magnesium, Mg",mg,3,
"Phosphorus, P",mg,71,
"Potassium, K",mg,126,
"Sodium, Na",mg,55,
"Zinc, Zn",mg,1.10,
Vitamins
"Vitamin C, total ascorbic acid",mg,0.0,
"Thiamin",mg,0.075,
"Riboflavin",mg,0.200,
"Niacin",mg,3.940,
"Vitamin B-6",mg,0.290,
"Vitamin D (D2 + D3)",µg,0.0,
"Vitamin D",IU,0,
Lipids
"Fatty acids, total saturated",g,21.397,
"Fatty acids, total monounsaturated",g,16.988,
"Fatty acids, total polyunsaturated",g,2.621,
"Fatty acids, total trans",g,3.235,
"Cholesterol",mg,90,
Amino Acids
Other
"Caffeine",mg,0,
