Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 22:28 EST
"Nutrient data for: 11396, Potatoes, o'brien, frozen, unprepared"
Nutrient,Unit,1Value per 100 g,
Proximates
"Water",g,79.97,
"Energy",kcal,76,
"Protein",g,1.83,
"Total lipid (fat)",g,0.14,
"Carbohydrate, by difference",g,17.47,
"Fiber, total dietary",g,1.9,
Minerals
"Calcium, Ca",mg,13,
"Iron, Fe",mg,1.03,
"Magnesium, Mg",mg,18,
"Phosphorus, P",mg,49,
"Potassium, K",mg,249,
"Sodium, Na",mg,33,
"Zinc, Zn",mg,0.29,
Vitamins
"Vitamin C, total ascorbic acid",mg,11.3,
"Thiamin",mg,0.054,
"Riboflavin",mg,0.045,
"Niacin",mg,1.129,
"Vitamin B-6",mg,0.209,
"Folate, DFE",µg,8,
"Vitamin B-12",µg,0.00,
"Vitamin A, RAE",µg,7,
"Vitamin A, IU",IU,148,
"Vitamin D (D2 + D3)",µg,0.0,
"Vitamin D",IU,0,
Lipids
"Fatty acids, total saturated",g,0.032,
"Fatty acids, total monounsaturated",g,0.006,
"Fatty acids, total polyunsaturated",g,0.061,
Amino Acids
Other
