Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 22:17 EST
"Nutrient data for: 11737, Borage, cooked, boiled, drained, with salt"
Nutrient,Unit,1Value per 100 g,
Proximates
"Water",g,91.88,
"Energy",kcal,25,
"Protein",g,2.09,
"Total lipid (fat)",g,0.81,
"Carbohydrate, by difference",g,3.55,
Minerals
"Calcium, Ca",mg,102,
"Iron, Fe",mg,3.64,
"Magnesium, Mg",mg,57,
"Phosphorus, P",mg,55,
"Potassium, K",mg,491,
"Sodium, Na",mg,324,
"Zinc, Zn",mg,0.22,
Vitamins
"Vitamin C, total ascorbic acid",mg,32.5,
"Thiamin",mg,0.059,
"Riboflavin",mg,0.165,
"Niacin",mg,0.940,
"Vitamin B-6",mg,0.088,
"Folate, DFE",µg,10,
"Vitamin B-12",µg,0.00,
"Vitamin A, RAE",µg,219,
"Vitamin A, IU",IU,4385,
"Vitamin D (D2 + D3)",µg,0.0,
"Vitamin D",IU,0,
Lipids
"Fatty acids, total saturated",g,0.197,
"Fatty acids, total monounsaturated",g,0.245,
"Fatty acids, total polyunsaturated",g,0.127,
"Fatty acids, total trans",g,0.000,
"Cholesterol",mg,0,
Amino Acids
Other
