Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 22:47 EST
"Nutrient data for: 03098, Babyfood, vegetables, beets, strained"
Nutrient,Unit,1Value per 100 g,"1 cup = 224.0g","1 tbsp = 14.0g","1 oz = 28.35g","1 jar = 113.0g","1 jar Gerber Second Food (4 oz) = 113.0g","1 jar Heinz Strained-2 (4 oz) = 113.0g",
Proximates
"Water",g,90.10,201.82,12.61,25.54,101.81,101.81,101.81
"Energy",kcal,34,76,5,10,38,38,38
"Protein",g,1.30,2.91,0.18,0.37,1.47,1.47,1.47
"Total lipid (fat)",g,0.10,0.22,0.01,0.03,0.11,0.11,0.11
"Carbohydrate, by difference",g,7.70,17.25,1.08,2.18,8.70,8.70,8.70
"Fiber, total dietary",g,1.9,4.3,0.3,0.5,2.1,2.1,2.1
"Sugars, total",g,6.09,13.64,0.85,1.73,6.88,6.88,6.88
Minerals
"Calcium, Ca",mg,14,31,2,4,16,16,16
"Iron, Fe",mg,0.32,0.72,0.04,0.09,0.36,0.36,0.36
"Magnesium, Mg",mg,14,31,2,4,16,16,16
"Phosphorus, P",mg,14,31,2,4,16,16,16
"Potassium, K",mg,182,408,25,52,206,206,206
"Sodium, Na",mg,83,186,12,24,94,94,94
"Zinc, Zn",mg,0.12,0.27,0.02,0.03,0.14,0.14,0.14
Vitamins
"Vitamin C, total ascorbic acid",mg,2.4,5.4,0.3,0.7,2.7,2.7,2.7
"Thiamin",mg,0.011,0.025,0.002,0.003,0.012,0.012,0.012
"Riboflavin",mg,0.043,0.096,0.006,0.012,0.049,0.049,0.049
"Niacin",mg,0.132,0.296,0.018,0.037,0.149,0.149,0.149
"Vitamin B-6",mg,0.024,0.054,0.003,0.007,0.027,0.027,0.027
"Folate, DFE",µg,31,69,4,9,35,35,35
"Vitamin B-12",µg,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Vitamin A, RAE",µg,1,2,0,0,1,1,1
"Vitamin A, IU",IU,27,60,4,8,31,31,31
"Vitamin E (alpha-tocopherol)",mg,0.03,0.07,0.00,0.01,0.03,0.03,0.03
"Vitamin D (D2 + D3)",µg,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Vitamin D",IU,0,0,0,0,0,0,0
"Vitamin K (phylloquinone)",µg,0.2,0.4,0.0,0.1,0.2,0.2,0.2
Lipids
"Fatty acids, total saturated",g,0.016,0.036,0.002,0.005,0.018,0.018,0.018
"Fatty acids, total monounsaturated",g,0.019,0.043,0.003,0.005,0.021,0.021,0.021
"Fatty acids, total polyunsaturated",g,0.036,0.081,0.005,0.010,0.041,0.041,0.041
"Cholesterol",mg,0,0,0,0,0,0,0
Amino Acids
Other
"Caffeine",mg,0,0,0,0,0,0,0
