Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 22:45 EST
"Nutrient data for: 33878, Babyfood, GERBER, Banana with orange medley"
Nutrient,Unit,1Value per 100 g,
Proximates
"Water",g,77.91,
"Energy",kcal,86,
"Protein",g,1.06,
"Total lipid (fat)",g,0.00,
"Carbohydrate, by difference",g,20.41,
"Fiber, total dietary",g,2.1,
"Sugars, total",g,14.27,
Minerals
"Calcium, Ca",mg,0,
"Iron, Fe",mg,0.23,
"Magnesium, Mg",mg,18,
"Phosphorus, P",mg,19,
"Potassium, K",mg,265,
"Sodium, Na",mg,10,
"Zinc, Zn",mg,0.12,
Vitamins
"Vitamin C, total ascorbic acid",mg,24.5,
"Thiamin",mg,0.033,
"Riboflavin",mg,0.057,
"Niacin",mg,0.654,
"Vitamin B-6",mg,0.232,
"Folate, DFE",µg,31,
"Vitamin B-12",µg,0.00,
"Vitamin A, RAE",µg,28,
"Vitamin A, IU",IU,557,
"Vitamin E (alpha-tocopherol)",mg,0.49,
"Vitamin D (D2 + D3)",µg,0.0,
"Vitamin D",IU,0,
"Vitamin K (phylloquinone)",µg,2.3,
Lipids
"Fatty acids, total saturated",g,0.000,
"Fatty acids, total monounsaturated",g,0.000,
"Fatty acids, total polyunsaturated",g,0.000,
"Cholesterol",mg,0,
Amino Acids
Other
"Caffeine",mg,0,
