Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 21:43 EST
"Nutrient data for: 23404, Beef, New Zealand, imported, chuck eye roll, separable lean only, raw"
Nutrient,Unit,1Value per 100 g,
Proximates
"Water",g,73.50,
"Energy",kcal,131,
"Protein",g,20.46,
"Total lipid (fat)",g,5.41,
"Carbohydrate, by difference",g,0.00,
"Fiber, total dietary",g,0.0,
"Sugars, total",g,0.00,
Minerals
"Calcium, Ca",mg,4,
"Iron, Fe",mg,2.04,
"Magnesium, Mg",mg,20,
"Phosphorus, P",mg,180,
"Potassium, K",mg,315,
"Sodium, Na",mg,56,
"Zinc, Zn",mg,4.84,
Vitamins
"Vitamin C, total ascorbic acid",mg,0.0,
"Thiamin",mg,0.051,
"Riboflavin",mg,0.119,
"Niacin",mg,2.878,
"Vitamin B-6",mg,0.187,
"Vitamin B-12",µg,2.26,
"Vitamin A, RAE",µg,9,
"Vitamin A, IU",IU,28,
"Vitamin E (alpha-tocopherol)",mg,0.63,
"Vitamin D (D2 + D3)",µg,0.1,
"Vitamin D",IU,6,
Lipids
"Fatty acids, total saturated",g,1.756,
"Fatty acids, total monounsaturated",g,1.996,
"Fatty acids, total polyunsaturated",g,0.248,
"Fatty acids, total trans",g,0.072,
"Cholesterol",mg,61,
Amino Acids
Other
"Caffeine",mg,0,
